station,degre,prop_jamais,prop_rarement,prop_regulierement,prop_souvent,retard_score_moyen,mean_avg_duration,mean_planned_trains,mean_cancelled_trains,mean_dep_late_trains,mean_dep_avg_late,mean_dep_avg_all,mean_arr_late_trains,mean_arr_avg_late,mean_arr_avg_all,mean_late_15,mean_late_15_air,mean_late_30,mean_late_60,mean_pct_external,mean_pct_infra,mean_pct_traffic,mean_pct_rolling,mean_pct_station,mean_pct_passengers,cluster,lat,lon
ST PIERRE DES CORPS,2,0.0,0.5,0.5,0.0,1.5,63.0,478.5,21.5,114.5,21.3360610357,3.5232129831999996,61.0,42.222409909999996,5.5866520788,29.0,73.6232875345,22.0,11.5,23.80785414,11.886395515,29.698457225,15.988779805,11.6058906,7.0126227199999995,0,47.3833,0.7167
LAVAL,2,0.0,0.0,1.0,0.0,2.0,79.5,306.5,7.5,77.0,19.474978899,4.24539389535,51.0,44.310731785499996,7.77951651095,34.0,61.8407017545,20.5,11.5,27.176015475,13.965183755,10.464216635,29.593810445000003,15.00967118,3.79110251,1,48.0667,-0.7667
PARIS LYON,40,0.0,0.325,0.675,0.0,1.675,177.6,319.825,7.225,79.75,17.749227369419998,3.6316318257974998,46.075,46.664725968925,8.0749988016675,40.075,52.20795555535,22.75,11.125,17.3548110575,25.472275536,23.7274404065,18.661956338,7.646240374,7.137276285249999,1,48.8447,2.3736
METZ,2,0.0,0.5,0.5,0.0,1.5,86.0,276.5,0.0,57.0,14.446497633500002,2.72314672665,45.0,30.2909502265,5.3792411300000005,28.0,42.7019902085,14.5,5.0,16.025641025,25.0,18.589743589999998,13.141025639999999,16.987179485,10.256410254999999,2,49.1092,6.1764
GRENOBLE,2,0.0,0.5,0.5,0.0,1.5,179.0,172.0,3.0,16.0,19.1666666665,1.9739320728499998,21.5,48.741574074,7.1519922969500005,18.5,54.5466161615,10.0,3.5,28.666666665,23.555555554999998,25.88888889,12.333333335,4.77777778,4.77777778,2,45.1917,5.7153
ANGOULEME,2,0.0,0.0,1.0,0.0,2.0,125.5,308.0,8.5,117.5,24.4311170215,6.72061195445,49.5,66.28271306399999,11.525110875500001,38.0,82.929516129,24.5,14.5,32.808811955,15.36191975,13.768686075,8.910306845000001,12.96223446,16.188040909999998,1,45.6489,0.1567
STRASBOURG,4,0.0,0.5,0.5,0.0,1.5,220.5,319.0,3.0,99.75,15.385138131,3.924225974875,54.25,55.01716019,7.934229945149999,41.25,58.356566931,23.0,7.0,28.8911088925,34.5479520475,9.2207792225,11.505994005,6.78071928,9.053446555,1,48.5853,7.7353
PARIS NORD,8,0.0,0.0,1.0,0.0,2.0,79.75,365.125,18.5,71.5,15.054280991870234,1.9062093925637573,53.625,40.65252953862574,6.9656564563937415,27.75,64.4927696262013,20.625,14.875,40.94531355393933,5.313736154623786,28.84549658478034,14.965465405429612,5.266462955360437,4.6635253442415046,0,48.8809,2.3553
TOURCOING,3,0.0,0.0,1.0,0.0,2.0,303.0,31.0,1.0,7.0,58.062654321,6.4675925926,6.0,111.662063492,20.921481481333334,6.0,111.662063492,5.0,3.6666666666666665,34.761904763333334,24.444444443333335,9.523809523333332,4.761904763333333,4.761904763333333,21.74603174666667,1,50.7236,3.1611
TOULON,2,0.0,0.0,1.0,0.0,2.0,236.0,342.5,9.0,101.5,17.68852347,4.923299070300001,64.0,51.107551282,10.44328400045,64.0,51.107551282,40.0,18.5,29.82278481,32.088607595,15.2278481,13.06329114,3.898734175,5.8987341749999995,1,43.1244,5.9292
MULHOUSE VILLE,2,0.0,0.0,1.0,0.0,2.0,168.5,332.5,8.0,91.0,16.383962639099998,2.8627345333000003,45.0,53.908069829,7.8686794738,37.0,62.553155458,28.0,15.0,12.25296443,31.027667985,28.85375494,18.82411067,5.68181818,3.3596837949999996,1,47.7408,7.3394
ANGERS SAINT LAUD,2,0.0,0.0,1.0,0.0,2.0,91.0,553.0,14.5,130.5,21.768259882,4.63497923795,83.5,64.555794607,10.64880212925,59.5,85.66767282199999,43.0,25.5,37.90123457,18.00925926,19.22839506,8.688271605,6.2191358,9.953703705,0,47.4633,-0.5547
SAINT ETIENNE CHATEAUCREUX,2,0.0,0.5,0.5,0.0,1.5,170.0,111.0,4.0,10.5,13.5594696968,1.4153426791500001,12.0,27.965850816,4.10989096575,7.5,36.459077381,3.0,0.5,4.545454545,23.776223775,29.72027972,28.32167832,9.09090909,4.545454545,2,45.4397,4.3944
DOUAI,2,0.0,0.0,1.0,0.0,2.0,72.0,146.5,10.5,27.0,14.6843181818,1.82077974205,23.5,36.190494228,6.84360507545,10.0,64.503472222,6.0,5.0,35.198135195,6.06060606,29.72027972,19.114219115,3.03030303,6.876456875,2,50.3711,3.0778
PERPIGNAN,2,0.0,0.0,1.0,0.0,2.0,316.0,334.5,8.0,57.0,25.858065025,4.51381149825,58.5,69.439366218,13.276670700499999,58.5,69.439366218,32.5,19.5,37.01754386,20.526315789999998,20.526315789999998,13.421052629999998,5.96491228,2.543859645,1,42.6983,2.8956
BELLEGARDE (AIN),2,0.0,0.0,1.0,0.0,2.0,161.5,246.5,5.0,53.0,16.404940476,3.2184973535,41.5,50.004868687,8.888017010750001,32.0,59.2079412745,20.0,6.5,7.545454545,42.696969695,20.636363635000002,19.09090909,8.030303029999999,2.0,1,46.1081,5.8239
ST MALO,2,0.0,0.0,1.0,0.0,2.0,152.0,125.0,2.5,14.5,33.9765151515,3.12753932285,19.5,60.220967023,10.491554474,15.5,72.039110644,10.0,7.0,32.887700535,17.914438500000003,14.97326203,17.914438500000003,5.213903745,11.096256685,1,48.6464,-2.0128
LA ROCHELLE VILLE,2,0.0,0.0,1.0,0.0,2.0,174.0,232.0,6.5,35.0,31.4303303305,4.706111384350001,32.0,73.53382352950001,11.522117844,28.5,81.125403226,18.0,11.5,38.0831643,7.60649087,15.720081135000001,15.97363083,4.918864095,17.697768760000002,1,46.1583,-1.1511
VANNES,2,0.0,0.0,1.0,0.0,2.0,160.0,304.0,7.5,98.0,19.68305637105,4.97818443445,46.5,67.51114779849999,11.3460960962,39.5,76.9825108225,26.5,15.5,42.287735850000004,17.54716981,10.33018868,16.320754715,10.37735849,3.136792455,1,47.6581,-2.76
MONTPELLIER,4,0.0,0.0,1.0,0.0,2.0,160.5,236.25,5.0,70.25,25.862226267249998,7.486369256650001,46.0,50.66102218025,11.476240171875002,39.0,57.38210926425,21.0,11.25,25.1684782575,18.181900839999997,22.34968628,15.0640372275,7.261975209999999,11.9739221825,1,43.6047,3.8797
VALENCE ALIXAN TGV,2,0.0,0.5,0.5,0.0,1.5,131.5,468.0,9.5,170.0,17.2065376985,6.031318371399999,63.5,45.3492487375,7.7004692176,52.0,51.9503385415,28.0,13.0,25.155350974999998,17.675489065,24.11967779,18.06674338,6.087456845,8.895281935,0,44.9694,4.975
